Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Tail_FlightNum
2008,4,19,6,941,940,1042,1045,DL,61,65,35,-3,1,ATL,SAV,215,6,20,0,,0,-99,-99,-99,-99,-99,N949DL - 1435
2008,6,2,1,1604,1530,1845,1750,UA,281,260,240,55,34,ORD,SEA,1721,6,35,0,,0,34,0,21,0,0,N433UA - 575
2008,12,31,3,2151,2200,2330,2342,FL,99,102,78,-12,-9,ATL,BWI,576,6,15,0,,0,-99,-99,-99,-99,-99,N184AT - 478
2008,2,4,1,2148,2105,9,2250,9E,141,105,103,79,43,MSP,SGF,528,6,32,0,,0,43,0,36,0,0,86599E - 4745
2008,8,27,3,2042,2040,2214,2210,DL,92,90,64,4,2,ATL,TPA,406,5,23,0,,0,-99,-99,-99,-99,-99,N657DL - 696
2008,2,28,4,1745,1750,1918,1925,MQ,93,95,72,-7,-5,DFW,MOB,540,2,19,0,,0,-99,-99,-99,-99,-99,N902BC - 3449
2008,4,11,5,1912,1810,2052,1955,AA,160,165,139,57,62,DFW,SLC,988,6,15,0,,0,4,0,0,0,53,N200AA - 1925
2008,2,14,4,1602,1602,1758,1751,DL,116,109,87,7,0,ATL,BWI,576,17,12,0,,0,-99,-99,-99,-99,-99,N906DL - 1542
2008,4,27,7,752,801,952,952,UA,240,231,204,0,-9,ORD,PHX,1440,7,29,0,,0,-99,-99,-99,-99,-99,N489UA - 1477
2008,12,29,1,2038,2007,2159,2146,EV,141,159,121,13,31,ATL,SAT,874,3,17,0,,0,-99,-99,-99,-99,-99,N758EV - 5628
2008,1,13,7,NA,1851,NA,2202,UA,NA,131,NA,NA,NA,ORD,MHT,843,NA,NA,1,B,0,-99,-99,-99,-99,-99, - 1264
2008,10,7,2,822,825,1141,1154,US,139,149,117,-13,-3,DFW,CLT,936,14,8,0,,0,-99,-99,-99,-99,-99,N170US - 1710
2008,11,19,3,1246,1252,1502,1513,UA,136,141,114,-11,-6,DFW,ORD,802,8,14,0,,0,-99,-99,-99,-99,-99,N837UA - 564
2008,1,19,6,1738,1705,2122,2125,AA,164,200,151,-3,33,DFW,LGA,1389,3,10,0,,0,-99,-99,-99,-99,-99,N529AA - 744
2008,1,21,1,919,925,1118,1110,AA,239,225,224,8,-6,DFW,OAK,1456,3,12,0,,0,-99,-99,-99,-99,-99,N473AA - 1991
2008,7,31,4,1935,1935,2027,2030,MQ,52,55,31,-3,0,DFW,SHV,190,5,16,0,,0,-99,-99,-99,-99,-99,N500AE - 3873
