Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Tail_FlightNum
2008,10,23,4,856,856,1053,1125,UA,237,269,210,-32,0,ORD,LAX,1745,6,21,0,NA,0,-99,-99,-99,-99,-99,N841UA - 107
2008,5,2,5,1728,1714,1821,1745,FL,113,91,78,36,14,ATL,MSY,425,4,31,0,NA,0,14,0,22,0,0,N995AT - 454
2008,6,10,2,1251,1255,1403,1406,NW,72,71,43,-3,-4,MSP,MKE,297,13,16,0,NA,0,-99,-99,-99,-99,-99,N501US - 594
2008,3,20,4,1204,1105,1721,1529,AA,257,204,190,112,59,DFW,LGA,1389,5,62,0,NA,0,0,0,105,0,7,N246AA - 720
2008,1,1,2,1255,1300,1511,1500,MQ,136,120,109,11,-5,DFW,CID,685,5,22,0,NA,0,-99,-99,-99,-99,-99,N646AE - 3651
2008,12,17,3,1437,1440,1652,1700,DL,135,140,110,-8,-3,ATL,LGA,761,8,17,0,NA,0,-99,-99,-99,-99,-99,N694DL - 916
2008,1,6,7,2120,1912,2342,2116,UA,262,244,223,146,128,ORD,LAS,1515,12,27,0,NA,0,31,0,18,0,97,N492UA - 1656
2008,8,22,5,1542,1540,1709,1705,AA,87,85,63,4,2,DFW,MSY,448,5,19,0,NA,0,-99,-99,-99,-99,-99,N3BTAA - 1098
2008,12,13,6,844,840,1121,1104,FL,157,144,124,17,4,ATL,BOS,946,3,30,0,NA,0,4,0,13,0,0,N919AT - 277
2008,11,16,7,1437,1441,1625,1640,EV,108,119,93,-15,-4,ATL,ABE,692,3,12,0,NA,0,-99,-99,-99,-99,-99,N909EV - 5338
2008,10,14,2,1342,1345,1650,1651,US,128,126,89,-1,-3,ORD,PHL,678,24,15,0,NA,0,-99,-99,-99,-99,-99,N114UW - 740
